vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
2.3,110.0,-1.9,89.0,1000.9,-1.0,-1.0,-1.0,-1.0,C6,2022-01-26 00:00:00,264,41.6566,0.95172
-1.0,-1.0,1.5,83.0,-1.0,0.4,287.0,-1.0,-1.0,WB,2022-01-26 00:00:00,267,41.76036,0.67022
-1.0,-1.0,-0.1,28.0,-1.0,-1.0,-1.0,0.8,166.0,Z8,2022-01-26 00:00:00,2316,42.18254,1.52407
-1.0,-1.0,2.6,86.0,-1.0,0.4,124.0,-1.0,-1.0,WR,2022-01-26 00:00:00,300,41.2163,0.79748
-1.0,-1.0,0.0,96.0,-1.0,0.6,118.0,-1.0,-1.0,WJ,2022-01-26 00:00:00,141,41.1223,0.72182
2.8,247.0,3.1,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,YK,2022-01-26 00:00:00,313,41.55361,1.99005
-1.0,-1.0,-3.1,96.0,992.6,-1.0,-1.0,-1.0,-1.0,H1,2022-01-26 00:00:00,333,41.58642,1.65306
-1.0,-1.0,-3.3,97.0,-1.0,0.1,341.0,-1.0,-1.0,XM,2022-01-26 00:00:00,235,41.59522,0.73507
-1.0,-1.0,-2.1,35.0,-1.0,-1.0,-1.0,3.2,113.0,Z1,2022-01-26 00:00:00,2266,42.64691,0.98486
2.7,138.0,3.4,69.0,981.2,-1.0,-1.0,-1.0,-1.0,C7,2022-01-26 00:00:00,427,41.66695,1.16234
0.6,215.0,0.8,82.0,965.9,-1.0,-1.0,-1.0,-1.0,C8,2022-01-26 00:00:00,554,41.67555,1.29609
1.8,281.0,4.0,80.0,1003.3,-1.0,-1.0,-1.0,-1.0,C9,2022-01-26 00:00:00,240,40.71825,0.39988
0.9,227.0,-0.8,78.0,957.2,-1.0,-1.0,-1.0,-1.0,CC,2022-01-26 00:00:00,626,42.07398,2.20862
0.0,125.0,-1.5,57.0,932.9,-1.0,-1.0,-1.0,-1.0,CD,2022-01-26 00:00:00,849,42.37083,1.43277
1.2,333.0,4.0,100.0,994.1,-1.0,-1.0,-1.0,-1.0,CE,2022-01-26 00:00:00,316,41.53109,1.80813
0.5,352.0,4.5,27.0,870.5,-1.0,-1.0,-1.0,-1.0,CG,2022-01-26 00:00:00,1405,42.37717,2.41456
0.2,209.0,-4.5,98.0,931.4,-1.0,-1.0,-1.0,-1.0,CI,2022-01-26 00:00:00,852,42.25839,2.36429
3.4,333.0,-1.9,67.0,965.3,-1.0,-1.0,-1.0,-1.0,CJ,2022-01-26 00:00:00,566.5,42.21624,1.33132
0.0,171.0,-2.2,99.0,990.6,-1.0,-1.0,-1.0,-1.0,CL,2022-01-26 00:00:00,349,41.67399,1.76796
